etapa,acuracia,precisao,recall,f1,roc_auc,threshold
treino,0.77390905600819,0.4375608670246807,0.575740933970381,0.4972293585233785,0.77555391558726,0.2599999999999999
teste1,0.7464342313787639,0.6845425867507886,0.7833935018050542,0.7306397306397306,0.8164759632054498,0.2599999999999999
teste2_final,0.8003169572107766,0.8466666666666667,0.8698630136986302,0.8581081081081081,0.8378877138192915,0.23999999999999994
